Bird Name	Folder
Least Auklet	Least_Auklet
Least Bittern	Least_Bittern
Least Flycatcher	Least_Flycatcher
Least Grebe	Least_Grebe
Least Sandpiper	Least_Sandpiper
Least Storm-Petrel	Least_Storm-Petrel
Least Tern	Least_Tern
LeConte's Sparrow	LeContes_Sparrow
LeConte's Thrasher	LeContes_Thrasher
Lesser Akialoa	Lesser_Akialoa
Lesser Black-backed Gull	Lesser_Black-backed_Gull
Lesser Frigatebird	Lesser_Frigatebird
Lesser Goldfinch	Lesser_Goldfinch
Lesser Koa-Finch	Lesser_Koa-Finch
Lesser Nighthawk	Lesser_Nighthawk
Lesser Prairie-Chicken	Lesser_Prairie-Chicken
Lesser Scaup	Lesser_Scaup
Lesser White-fronted Goose	Lesser_White-fronted_Goose
Lesser Whitethroat	Lesser_Whitethroat
Lesser Yellowlegs	Lesser_Yellowlegs
Lesson's Seedeater	Lessons_Seedeater
Lewis's Woodpecker	Lewiss_Woodpecker
Light-mantled Albatross	Light-mantled_Albatross
Lilac-crowned Amazon	Lilac-crowned_Amazon
Limpkin	Limpkin
Lincoln's Sparrow	Lincolns_Sparrow
Little Blue Heron	Little_Blue_Heron
Little Bunting	Little_Bunting
Little Curlew	Little_Curlew
Little Egret	Little_Egret
Little Gull	Little_Gull
Little Ringed Plover	Little_Ringed_Plover
Little Stint	Little_Stint
Little Tern	Little_Tern
Little White-Tern	Little_White-Tern
Loggerhead Kingbird	Loggerhead_Kingbird
Loggerhead Shrike	Loggerhead_Shrike
Long-billed Curlew	Long-billed_Curlew
Long-billed Dowitcher	Long-billed_Dowitcher
Long-billed Murrelet	Long-billed_Murrelet
Long-billed Thrasher	Long-billed_Thrasher
Long-eared Owl	Long-eared_Owl
Long-legged Buzzard	Long-legged_Buzzard
Long-tailed Duck	Long-tailed_Duck
Long-tailed Jaeger	Long-tailed_Jaeger
Long-toed Stint	Long-toed_Stint
Louisiana Waterthrush	Louisiana_Waterthrush
Lucifer Hummingbird	Lucifer_Hummingbird
Lucy's Warbler	Lucys_Warbler
MacGillivray's Warbler	MacGillivrays_Warbler
Magnificent Frigatebird	Magnificent_Frigatebird
Magnolia Warbler	Magnolia_Warbler
Mallard	Mallard
Mandarin Duck	Mandarin_Duck
Mangrove Cuckoo	Mangrove_Cuckoo
Mangrove Swallow	Mangrove_Swallow
Mangrove Yellow (Yellow) Warbler	Mangrove_Yellow_(Yellow)_Warbler
